id;geometry
0;POLYGON ((577242.7275698017 5827560.245917569, 577235.8699753958 5827583.4456555005, 577229.8186892017 5827584.145475769, 577242.7275698017 5827560.245917569))
1;POLYGON ((577034.8293095762 5827444.062164735, 577039.9422826604 5827443.696298555, 577034.9168754595 5827445.285896328, 577034.8293095762 5827444.062164735))
2;POLYGON ((577028.7080516329 5828261.774075645, 577086.6867529185 5828227.220320102, 577080.2069522757 5828241.603608926, 577028.7080516329 5828261.774075645))
3;POLYGON ((577007.4263179798 5827830.543702803, 577014.8756467041 5827842.776923912, 576996.3302177525 5827849.371325994, 577007.4263179798 5827830.543702803))
4;POLYGON ((577414.0799323996 5828122.677342142, 577355.7729369967 5828132.812466183, 577392.1152550849 5828101.813613119, 577414.0799323996 5828122.677342142))
5;POLYGON ((577048.0200445569 5828060.037559575, 577058.3538161315 5828032.831568904, 577066.5349865078 5828043.307456736, 577048.0200445569 5828060.037559575))
6;POLYGON ((576985.3238616722 5827639.8140422525, 577061.9758313686 5827649.04413326, 577063.0749205898 5827657.539181036, 576985.3238616722 5827639.8140422525))
7;POLYGON ((577177.452947224 5827678.224952111, 577177.3967333614 5827682.640931584, 577175.2899933995 5827682.618775052, 577177.452947224 5827678.224952111))
8;POLYGON ((577293.7129003489 5827549.503918692, 577336.9921587264 5827589.862797434, 577291.2631245062 5827560.240319594, 577293.7129003489 5827549.503918692))
9;POLYGON ((577331.15970106 5828041.737743632, 577261.4008358135 5828020.29621961, 577305.8281572034 5827939.48168798, 577331.15970106 5828041.737743632))
10;POLYGON ((577333.8479313466 5827910.876197689, 577328.3397794735 5827913.881922717, 577330.654666085 5827905.029195084, 577333.8479313466 5827910.876197689))
11;POLYGON ((576848.3398871248 5827760.528330185, 576852.7007721239 5827755.935310217, 576856.4034721924 5827758.296560732, 576848.3398871248 5827760.528330185))
12;POLYGON ((577420.8785681584 5827874.527778791, 577410.4602931713 5827875.708871881, 577420.135918492 5827867.951887993, 577420.8785681584 5827874.527778791))
13;POLYGON ((577053.5793999605 5828004.37482103, 577061.7433057997 5827997.483349042, 577065.7609954266 5828004.767255251, 577053.5793999605 5828004.37482103))
14;POLYGON ((577076.795125967 5828043.102199706, 577076.6352721335 5828035.200493041, 577105.7882773683 5828056.999521608, 577076.795125967 5828043.102199706))
15;POLYGON ((577050.3379343511 5827366.236933583, 577052.1051024258 5827372.762152464, 577050.9482690745 5827373.0776762245, 577050.3379343511 5827366.236933583))
16;POLYGON ((577392.8271431355 5828208.241559599, 577380.4432707963 5828222.786815959, 577374.1974695441 5828199.891455276, 577392.8271431355 5828208.241559599))
